RING PLANE CROSSING ,,,,,
"Seq  = Cassini planning sequence, Rev = revolution - defined from apoapse to apoapse",,,,,
"and Rs = 60,268 km",,,,,
Seq,Rev,Event,Epoch (SCET),Date,Range(Rs)
S65,142,Ascending Ring Crossing,2010-354T21:00,Dec20,3.812
S65,142,Descending Ring Crossing,2010-356T03:06,Dec22,15.278
S65,143,Ascending Ring Crossing,2011-010T13:17,Jan10,4.155
S66,144,Descending Ring Crossing,2011-030T21:45,Jan30,5.039
S66,144,Ascending Ring Crossing,2011-031T17:03,Jan31,9.456
S66,145,Descending Ring Crossing,2011-051T04:34,Feb20,7.228
S66,145,Ascending Ring Crossing,2011-052T07:20,Feb21,10.791
S67,146,Descending Ring Crossing,2011-079T02:38,Mar20,7.206
S67,146,Ascending Ring Crossing,2011-080T05:33,Mar21,10.87
S67,147,Descending Ring Crossing,2011-107T00:38,Apr17,7.21
S67,147,Ascending Ring Crossing,2011-108T03:27,Apr18,10.827
S68,148,Descending Ring Crossing,2011-130T12:10,May10,7.535
S68,148,Ascending Ring Crossing,2011-132T13:48,May12,19.236
S68,149,Descending Ring Crossing,2011-169T15:23,Jun18,7.472
S68,149,Ascending Ring Crossing,2011-171T18:00,Jun20,19.629
S69,150,Descending Ring Crossing,2011-191T12:48,Jul10,4.574
S69,150,Ascending Ring Crossing,2011-193T09:42,Jul12,19.554
S69,151,Descending Ring Crossing,2011-213T05:00,Aug01,4.584
S69,151,Ascending Ring Crossing,2011-215T01:06,Aug03,19.312
S69,152,Descending Ring Crossing,2011-235T00:42,Aug23,4.601
S69,152,Ascending Ring Crossing,2011-236T20:35,Aug24,19.227
S70,153,Descending Ring Crossing,2011-256T20:28,Sep13,3.765
S70,153,Ascending Ring Crossing,2011-258T00:55,Sep15,14.417
S70,154,Descending Ring Crossing,2011-274T12:21,Oct01,4.649
S70,154,Ascending Ring Crossing,2011-275T04:27,Oct02,8.224
S70,155,Descending Ring Crossing,2011-292T07:40,Oct19,4.744
S70,155,Ascending Ring Crossing,2011-292T23:55,Oct19,8.205
S70,156,Descending Ring Crossing,2011-310T03:13,Nov06,4.762
S70,156,Ascending Ring Crossing,2011-310T19:19,Nov06,8.117
S71,157,Descending Ring Crossing,2011-327T22:45,Nov23,5.267
S71,157,Ascending Ring Crossing,2011-328T13:38,Nov24,6.99
S71,158,Descending Ring Crossing,2011-345T20:15,Dec11,5.257
S71,158,Ascending Ring Crossing,2011-346T11:07,Dec12,6.994
S71,158,Descending Ring Crossing,2011-348T14:22,Dec14,24.975
S71,159,Ascending Ring Crossing,2012-003T22:03,Jan03,9.665
S71,159,Descending Ring Crossing,2012-004T21:50,Jan04,6.966
S72,160,Ascending Ring Crossing,2012-028T03:21,Jan28,9.735
S72,160,Descending Ring Crossing,2012-029T03:12,Jan29,6.927
S72,161,Ascending Ring Crossing,2012-048T06:23,Feb17,32.591
S72,161,Descending Ring Crossing,2012-052T01:36,Feb21,4.276
S72,161,Ascending Ring Crossing,2012-052T20:24,Feb21,9.885
S72,162,Descending Ring Crossing,2012-069T22:24,Mar09,4.308
S72,162,Ascending Ring Crossing,2012-070T17:12,Mar10,9.855
S72,163,Descending Ring Crossing,2012-087T17:40,Mar27,4.331
S72,163,Ascending Ring Crossing,2012-088T12:08,Mar28,9.682
S73,164,Descending Ring Crossing,2012-105T13:08,Apr14,4.357
S73,164,Ascending Ring Crossing,2012-106T07:14,Apr15,9.481
S73,165,Descending Ring Crossing,2012-123T08:38,May02,4.358
S73,165,Ascending Ring Crossing,2012-124T02:40,May03,9.454
S73,166,Descending Ring Crossing,2012-140T19:21,May19,8.001
S73,166,Ascending Ring Crossing,2012-141T11:11,May20,4.737
S73,166,Descending Ring Crossing,2012-143T03:58,May22,20.855
S73,167,Ascending Ring Crossing,2012-157T03:22,Jun05,3.315
S73,167,Descending Ring Crossing,2012-159T01:30,Jun07,20.454
S74,168,Ascending Ring Crossing,2012-180T19:22,Jun28,5.879
S74,168,Descending Ring Crossing,2012-182T23:34,Jun30,20.671
S74,169,Ascending Ring Crossing,2012-204T17:56,Jul22,5.888
S74,169,Descending Ring Crossing,2012-206T21:04,Jul24,20.36
S74,170,Ascending Ring Crossing,2012-225T18:56,Aug12,6.747
S74,170,Descending Ring Crossing,2012-228T02:31,Aug15,20.424
S75,171,Ascending Ring Crossing,2012-247T01:01,Sep03,6.764
S75,171,Descending Ring Crossing,2012-249T08:40,Sep05,20.431
S75,172,Ascending Ring Crossing,2012-268T08:20,Sep24,6.764
S75,172,Descending Ring Crossing,2012-270T15:19,Sep26,20.262
S75,173,Ascending Ring Crossing,2012-291T18:42,Oct17,10.018
